"Zhmak","Kirilenko"
"ROBERTSON","GROSS"
"I.Yadlin","ISRAEL"
"ZIMMERMANN","BOMPIS"
"FitzGibbon","Ireland"
"Z Mahmood","USA"
"lancu","Rumania"
"Clerkin","HOLLMAN"
"Tatarkin","Team 1"
"Cook","Team 1"
"N Edgtton","Australia"
"Asbury","USA B"
" Sikora","Poland U25"
"vinay","SUNIL MACHAR"
"Denning","Wales"
"GRINBERG","ISRAEL"
"Wang WF","Huan Qiu Shi Bao"
"Wolff","KASLE"
"Kazuo","Campos"
"I. J. Lin","Tin Fok"
"WINKLER","HUNGARY"
"GAWRYS","Poland"
"Chidiac","Lebanon"
"Liu Jing","Hua Yuan Club"
"Bausback","ALERTPLUS"
"VillasBoas","BRAZIL"
"Pazur","SPOJNIA"
"Assael S","TUR"
"Zaccaria","SAN  MARINO"
"P.Hackett","England/Norway"
"Bessis","Team 2"
"FANTONI","I"
"Liu HaiTao","Beijing Hong Niu"
"Supeno","Djarum 1"
"Dimitraki","Nico"
"J.Huang","Chainese Taipei"
"MULLAMPHY","AUSTRALIA"
"MIURA","JAPAN-CZECH"
"D.SCHALTZ","Denmark"
"LAURIA","BRENO BRIDGE"
"Kasler","MICHAUD"
"Zhang ZH","Jinrongjia"
"JOKISCH","GERMANY"
"Mackenzie","North Ire"
"Pikus","MRAGOVIA"
"D_Kowalski","ARASZKIEWICZ"
"Bertheau K","SWE"
"Baardse","AURORA"
"Diamond","DIAMOND"
"Spears","Scotland"
"KARLAFTIS ","KARLAFTIS"
"Ju C.","China Blue"
"HU Sheau-F","YEOH BROS"
"BURATTI","Italy"
"Angelini","Parioli Angelini"
"Meyers","USA"
"NABER","ESTONIA"
"Anggraeni","BANTEN"
"VOLKER","FRANCE"
"DePagter","Netherlands"
"ALLFREY","ALLFREY"
"KHOLOMEEV","Russia"
"Bojoh L","DKI Jakarta"
"Fantoni","Angelini TCP -Bove"
"Lu YP","Shanxi"
"SEVEREIJNS","NED BLUE"
"DUGUET Mi","ALAIN LEVY"
"ZMUDZINSKI","Poland"
"APTEKER","SOUTH AFRICA"
"helgemo","Hauge"
"Baterdene","Mongolia"
"Willenken","WOLFSON"
"Wang WD","He Wei Dong"
"Raju Tolan","Manyawar"
"Nawrocki","Warsaw"
"VINCIGUERA","LEVY"
"Jansma","Jansma"
"Hackett","Hackett"
"MANCINI","BASSINI"
"Sadek","Wadi Degla"
"Woolsey","Robinson"
"Magnis","PALADINO"
"MONTIN","USA"
"T.BESSIS","ZALESKI"
"Maksymetz","Maksymetz"
"Wolpert","Fireman"
"Garozzo","ITALY II"
"BOYD","USA 1"
"Nunn","Australia"
" K K KUMAR","Arun Jain"
"SACCAVINI","ITALY"
"olivieri","Italy"
"STRETZ F.","CRONIER"
"BALICKIY","Real"
"Jason Hkt","Europe"
"Niedzielsk","Consus"
"ONG","INDONESIA"
"ALIX","Neve"
"Helgemo.G","NORWAY"
"C Balicki","Green"
"PD Hackett","Hackett"
"White","Kovacich"
"Iven Alpho","Tolani Shipping"
"Shimamura","Japan Ladies"
"Marray","Wales"
"Bojoh","South Jakarta"
"Hans","Rothfield"
"K. Patnari","Thailand"
"Miura","MIURA"
"","Zhejiang"
"Girollet","Clichy B.C. 1"
"KOWALSKI A","POLAND"
"P. CULLIN","BK ST Erik"
"GIERULSKI","CICHOCKI"
"QUANTIN","BLUMENTAL"
"Nowosadski","Poland"
"NUNES","I"
"Lindqvist","Norway"
"GU Ling","CHINA"
"L.Madsen","Denmark"
"Buijs R","NET"
"T GUCCI","Aces & Deuces"
"Zhuravel","BELARUS"
"Kanervo M","FIN"
"Bosenberg","Eber"
"Shimizu","Shimizu"
"Lantaron","Spain"
"YAN Ru","CHINA"
"Mortensen","Denmark"
"Kozyra","RAG"
"Kolota","BC TOFAS TUR"
"Guitta","Dechelette"
"Romanski","PRATERM"
"Morrison","Beauchamp"
"Tang JQ","Shen Jiu"
"Haffer","Robinson"
"Ewart","Stark"
"E.Manoppo","NORTH SULAWESI"
"North","Krockmalik"
"H Mc Gann","Europe"
"NUSSBAUM","BROD"
"Dobrescu","Romania"
"Terrettaz","NYON 1"
"Anderson","North Ire"
"Green","Horwitz"
"Salama","Salama"
"DUBOIN Geo","ITALY"
"FANTONI F.","FANTONAKIS"
"A.KILANI","France"
"KILANI.A","FRANCE"
"Fady","El Shams Club"
"SADHU","INDIA"
"Bernstein","SULGROVE"
"KOWALSKI","LESNIEWSKI"
"PODGUR","KALISH"
"WBridge5","WBridge"
"La Madsen","Denmark"
"Wang Mr","Wu"
"Coenraets","BCOB 1"
"B.Todi","Trumpak Rubber"
"Minarik","Hungary"
"Nahmias","Caen B.C."
"Stansby","STRUL"
"YADLIN ISR","ISRAEL EIDI"
"Starkowski","TEAM2"
"HERBST","Israel"
"Fantoni","Eidi"
"Polet G","BEL"
"Stefanov","JULS"
"SCHUETT","SCHUETT"
"Chan","Kroch"
"GROMOELLER","Germany"
"Belladonna","Italy"
"Slawek","Nefka"
"Corry Jake","Nor Ire"
"George","INDONESIA"
"Figueiredo","Amaral"
"Harnanto","Syabas Gabriel - UI"
"LAURIA","RUS BC Real"
"Drijver","Netherlands"
"FORSBERG","SWEDEN"
"Ming Sun","CHINA LADIES"
"M.Branco","D'Orsi - Chagas"
"Bramley","DEUTSCH"
"BURATTI","REGGIO EMILIA"
"Cayne","Weed - npc"
"BEKKOUCHE","NORDEN"
"Meckstroth","USA1"
"S.Brink","Russia"
"T.K.Roy","BIMAL SICKA"
"Zhu Ping","Sheng Tao Sha"
"Stretz","MEYER"
"P Hackett","P Hackett"
"CHEMLA P","DE TESSIERES"
"BRANCO Mar","BRAZIL"
"Sun ","China"
"KWIECIEN","POLAND"
"WILKINSON","AUSTRALIA"
"DEHAYE","BCOB - BELGIUM"
"MANNO","ZALESKI"
"","PACIFIC"
"HE JianWei","Tianjin"
"HOMME M.","MIXEN NORWAY"
"Hackett","HACKETT"
"Kandemir","Kolata"
"Kaku","Japan 3"
"Kowalski","Poland"
"LEVIN","CAYNE"
"Dantan","Dantan"
"Nye","Australia"
"IMSA","MARUPE"
"Walczak","EKO_AL"
"Chiu WC","Chinese Taipei"
"P.Bertheau","Sweden"
"Reess","Allix"
"M Cerek","Yilankiran"
"v Prooijen","Orange White"
"Christians","Denmark"
"SZALAY","HUNGARY"
"Bell","England"
"NANEV","FORNACIARI"
"Crombie","New Zealand"
"A Levy","France"
"Dobrin","Team 1"
"DI BELLO S","PALMA - VILLA FABB."
"Araszkiewi","Poland"
"","England"
"D.ZLOTOV","Russia"
"JANSMA Aid","JANSMA"
"Morken","NORWAY B"
"Payen","PAYEN"
"Utter","Finland"
"Sumit M.","C.V.RAO"
"VERSACE","ANGELINI"
"Koneru","USA"
"ZWOL","Netherlands"
"Feldman","Hung"
"Bertheau P","BK S.T ERIK"
"MARKOWICZ ","POLAND"
"Katz","Sadek"
"Drijver","Neth. Red"
"Majdowicz","GARP44"
"Buras","Poland"
"LEVINGER","Israel"
"Keng Hien","West Java"
"M Moss","Beatty"
"Taciuc","Pacyfic"
"Martel","Wolfson"
"A Miyakuni","NAITO"
"Hurley","Nixon"
"Hurd","Hampton"
"Barel","Yeh Bros"
"Hou Xu","Xinyuan"
"Davis","Rep Ireland"
"RUBENIS","Latvia"
"HOUMOLLER","DENMARK"
"JAGNIEWSKI","JAGNIEWSKI"
"Mooney N","North Ire"
"RUBENIS","LATVIA"
"SH Chen","Shenzhen"
"ELKIN","ARGENTINA"
"Sompotan","Palma"
"meckstroth","USA 1"
"Hampson","Diamond"
"katz","JACOBS"
"Finnegan","Republic of Ireland"
"BREWIAK","POLAND"
"Kristina","Central Java"
"BAUSBACK","ALERTPLUS"
"anil padhy","Manyawar"
"HARDING","NORDEN"
"MAGYAR","HUNGARY"
"BAKKEREN Ton","NETHERLANDS"
"Harry Lin","China"
"Faizal","Riau"
"Gaviard D.","PAYEN"
"Berg","NTNU"
"Gold","ENGLAND"
"TUEJE","Indonesia"
"Spangenber","NETHERLANDS GIRL"
"FAILLA","ZALESKI"
"Kalota","Turkey"
"Wooldridge","SCHWARTZ"
"almirall m","Almirall"
"T Lloyd","JAGELMAN"
"Kandemir","TURKEY"
"Camacho","Camacho"
"Y.Chan","China Hongkong"
"Duboin G.","Italy"
"Balicki","Nickell"
"Dupuis X.","Clichy B.C. 1"
"J Bojoh","Indonesia"
"Pszczola","Sygnity"
"Faigenbaum","FRANCE"
"Lutostanski","ARASZKIEWICZ"
"Joko P","Bisma Semarang"
"NEVE O","ISRABEL"
"FITZGIBBON Nicholas","IRELAND"
"romanski",""
"Herbst O.","Herbst"
"Efraimsson","SWEDEN"
"Legras","MARI"
"Petrescu","Bate Tot"
"Scott","Apfel"
"R Levit P.","Israel"
"Riedel","Chile"
"BOJOH","DKI JAKARTA"
"D Walker","Scotland"
"Diakov","Slaveykov.bg"
"NIKOLENKOV","Switserland"
"East","Norway"
"P O'BRIAIN","IRELAND"
"KOVACS Mih","HUNGARY"
"Cuthbertson","Scotland"
"Leino","Nieminen"
"D'OVIDIO","FRANCE"
"Mori","USA / MORI"
"Zhou QH","Jin Ying Club"
"Ferraro","BCAT - ITALY"
"Greco","Brachman"
"Narkiewicz","PACIFIC"
"P_BERTHEAU","Sweden"
"Wang J M","Sichuan"
"Wortel","Delft"
"A.K. Heng","Singapore"
"DHONDY","ENGLAND"
"richard010","FJU"
"JITUSOLANI","Poddar Developers"
"INTONTI","BRENO BRIDGE"
"Tarbutt","Auckland"
"Milaszewsk","Noble"
"LEVITINA L","MAHAFFEY"
"VERHEES Al","NETHERLANDS"
"Malarme","De Tessieres"
"VERSACE","Italy"
"PASQUINI","ZALENSKI"
"KWIECIEN","Jagniewski"
"Wichmann","Bordallo"
"Kolyadenko","KIEV"
"Li Ming","Kunshan Zhonghai"
"Hoderova","Blondie"
"Bianchedi","Oyzum"
"Bakkeren","Team 2"
"Liu Jing","MeiLinQingCheng"
"CHOTI HEGD","Tolani Shipping Ltd"
"NADAR. K","INDIA"
"Matheson","Short"
"Octa","Banteng Selatan"
"Weichsel","Hamman"
"Grynberg","Brogeland"
"Chaitad S","Thailand"
"Rynning","Norway"
"Hamori","Hungary"
"Punit G.","Arun Jain"
"A.Abubakar","ACEH"
"Prokhorov","Russia"
"M. ZUR-CAM","USA 2"
"Maeda","Teramoto"
"Shimizu","JAPAN"
"Chambers","Schermer"
"Pangkerego","West Java"
"AERTS","BARRACUDA"
"Attanasio","Catania"
"Bathurst","Allegaert"
"DEHAYE","BCOB"
"WARNE","SWEDEN"
"South","BULGARIA"
"Katusic","Split"
"Isaev","Commandos"
"hwang","chinese taipei"
"Omasa","Japan 3"
"MIKKELSEN","FAROE ISLANDS"
"S'stone","Waterlow"
"Jim Krekorian","Onstott"
"Abe","GELLER"
"J Bojoh","North Minahasa Plus"
"Arthur","Scotland"
"SAXE","Apfel"
"Jagniewski","POLAND"
"Renard","Belgium"
"WOOLDRIDGE","USA 2"
"Teodoresco","Leroumain's boys"
"STROMBERG","ANNA"
"Leibowitz","Lebowitz"
"Wolfarth","Senior"
"Fantun","MARI"
"Austberg E","Norway"
"KOLATA","KANDEMIR"
"Hop Jacco","Netherlands"
"Chen","PABF Open"
"HO","CHINESE TAIPEI"
"STARKOWSKI","Poland"
"J.Chuanche","China Blue"
"Stark","Baseggio"
"Hugony","B.C. Mi - Russo"
"Gotard","Germany A"
"Romanovska","LATVIA"
"Chang","Chinese Taipei"
"STEFANOV","BULGARIA - K1"
"RINALDI","PALMA - VILLA FABB."
"Buras","Warsaw"
"Hinge","Victoria"
"Patrick Hu","Chinese Taipei"
"","Carruthers"
"Chen HY","Taiwan Jiangyou"
"M.Homme","Kristiansand BK"
"BAKKEREN","ORANGE 1"
"Thomson","Wellington"
"C. Balicki","SYGNITY"
"J Howard","Australian Youth"
"Sver","Croatia"
"Araszkiew","Poland"
"JORGENSEN","DENMARK"
"wang hl","China"
"I del Mo","USA"
"RUSSYAN","Poland"
"Frukacz","Frukacz"
"Jones","England U25"
"Lauria","SSD ANGELINI BRIDGE"
"N Rosen","Liggins"
"Colombo G.","CBC Milano"
"KRANYAK","Milner"
"Stern","Sydney"
"Labaer","BCOB I"
"De Ste-Mar","CHEMLA"
"I Herbst","Israel"
"Makaruk","Leaders"
"bhiwandkar","DHAMPUR SUGAR MILLS"
"Greco","Diamond"
"TAA","Norway"
"Mariani","Reggio Emilia"
"Lam Z Y","Singapore"
"Rainforth","England U20"
"KER Anthony","NEW ZEALAND"
"Berkowitz","Glasson"
" Chen Zhon","Guang Zhong"
"J.Meckstro","Yeh Brothers"
"RUSSO","Gr.Sp.Ass. Allegra"
"Altshuler","Table 2"
"HOU XU","Beijing HongNiu"
"VERSACE A.","SSD ANGELINI BRIDGE"
"Freeman","NIckell"
"Otaka","JAPAN Yamada"
"Baran","CANADA"
"Barbosa J","Portugal"
"G.Giorgos","Greece Blue"
"XIN","CHINA"
"Roy Welland","Welland"
"Andrea","FRANCE A"
"De Donder ","Bcob"
"Bruun","SCHALTZ - DENMARK "
"Kiki","Ind Bhineka"
"BAKKEREN ","NED AUT"
"Moller","Denmark"
"CHARLSEN","NORWAY"
"Kimiko End","International Team"
"FRANCES An","SPAIN"
"Rodrigues","Brum P"
"VERSACE","ZIMMERMANN-ANGELINI"
"DOBBELS","Belgium"
"Shi Zhengj","Ambassador"
"Araszkiewi","CHALLENGER"
"Lorencs","Latvia"
"Tardy","Lormant"
"STOECKLI","4 TREFLES1"
"Pszczola J","Poland"
"Tarnovski","Israel"
"PAZUR","JAGNIEWSKI"
"Grainger","L"Ecuyer"
"Balicki","SYGNITY"
"VROUSTIS V","FANTONAKIS"
"Hoffman","Hoffman"
"Wyer","Courtney"
"Fu","CHINA"
"De_Wijs","NETHERLANDS"
"N. Ho","Chainese Taipei"
"Juei-Yu","Chinese Taipei"
"Zhou QH","Jin Ying"
"BRINK","Netherlands"
"Willard Sy","France"
"Wang WM","Shanghai Qizhong"
"Barcellos","Amaral"
"CAPRERA","CAPRERA"
"Berkowitz","Pollack"
"Li ZG","Hubei Dongfeng"
"Krasnossel","Real"
"Schermer","Kasle"
"Wang","China"
"Subrata S.","SREE CEMENT"
"Linczmayer","Elastron"
"HAMPSON","Diamond"
"Askalani","El Ahly Club (A)"
"kaz08833","Okay"
"Lynch ","Lynch"
"Poplilov M","DHONDY"
"L.POPLILOV","DHONDY"
"Stern","Lebowitz"
"L. Bojoh","Mitra Buana"
"Lauria","TEAM BLU"
"W. AHMADY","Egypt"
"VERSACE","Angelini"
"Vriend","NETHERLANDS"
"Dwyer","Sherman npc"
"Guimaraes","Cintra"
"Lian  Yong","Pu Dong Club"
"ERKAN","TURKEY"
"Raul","JEOVANI"
"Liggat","McGowan"
"Liggins","Allfrey"
"Nunn","Marston"
"RINALDI","Br. Villa Fabbriche"
"Ong","Sydney"
"Keaveney","Republic of Ireland"
"i   hacket","England"
"Stromberg","SWEDEN"
"ONSTOTT","Onstott"
"NABIL","EGYPT"
"DE WIJS","NETHERLANDS"
"T. Fenwick","Bergues I"
"Pasternak","Poland"
"Zatorski","ERA"
"ZULFIKRI","KEPULAUAN RIAU"
"M Poplilov","European Mixed"
"M. Lund Mads","Denmark"
"FAIGENBAUM","FRANCE"
"Gromov A","Russia"
"ENGEL","ALERTPLUS"
"Renato","Amaral"
"Kenny","CBAI"
"Tatarkin","Vorobei"
"John-Eldar","Arctic Farmers"
"Thorsen","Norway"
"Brewiak","Piasecki"
"LU","BEIJING TRINERGY"
"MUNAWAR","DKI JAYA"
"Nosalska","BUSSE"
"Fallenius","de Knijff"
"EKINCI","TURKEY"
"Wu JR","Jin Rong"
"Brenner","BRAZIL"
"W Burrows","New Zealand"
"Buratti","Allegra TO"
"Nickell","USA 1"
"Jansma Jan","Netherlands"
"D_Ovidio","FRANCE"
"ste-marie","BLUMENTAL"
"Weinstein","Ozdil"
"Youngs","Team 1"
"Chiu","FOURNIER"
"Bessis T","France"
"B Wolf","Bhineka"
"Bayusunu","Banten"
"Kenji 3892","Naito"
"Tonci","Tesla"
"SMEDEREVAC","NED AUT"
"Sarniak","SARNIAK"
"Judith Nab","Netherlands"
"Z Senguler","Turkey"
"Ekeblad","MILNER"
"Olanski","COMPUTERLAN"
"Mandruta C","ROM"
"FERRARO","ITALY Allegra"
"Blanchon m","Payen"
"Wang WM","China LongZhu Open"
"MICHIELSEN","NL WOMEN 1"
"VAN PROOIJ","NED AUT"
"Lian RY","Jing Fan Club"
"Nowosadzki","POLAND A"
"Wang XJ","Jiangsu"
"MOSS","Diamond"
"Griffths","Australia"
"Bathurst","Van Prooijen"
"BARBOSA","P BRUM"
"DE FALCO ","VINCI"
"Libbretch","France"
"CHEN Chuan-Cheng","NORWAY"
"Damayanti ","Indonesia"
"Vieira","Trinidad & Tobago"
"C d'Ovidio","France"
"Bian JS","Pudong Pufa"
"Manara","Italy"
"Nystrom","BK S.T ERIK"
"Shen","Yeh"
"Zmudzinski","SIGNITY AZS PWR"
"Balicki","Poland"
"Lutostansk","Araszkiewicz"
"Klukowski","Poland"
"Mayefsky","Lien"
"Wittes","Sprung"
"Zhuang MZ","Jiu Jiu A"
"CAPONI Cla","Contact 1"
"INO","JAPAN"
"Lorenzini","France U25"
"SUNDARAM","TexanAces"
"Liu Y","CHINA"
"Tsai","NTU"
"S.Vallapa","Thailand"
"Fahreza","Indonesia"
"Niedzielsk","Leaders"
"Fisher","Schwartz"
"East","Pacyfic"
"HUGON","FRANCE"
"","Cayne"
"brown","England"
"Pankaj M","Pankaj Mehta"
"Conway","Sydney"
"Monge","Rau"
"R. Dalal","Manyawar"
"Chen AJ","Tai Nan"
"Eric Rodwell","Nickell"
"Ino","Japan"
"ZiaMahmood","USA"
"Martens K","Poland"
"D'Ovidio","France"
"Meng Z","Nanning"
"Maas","Team 2"
"JOEL","JOEL"
"Hongli-Wan","CHINA"
"SEAMON","Weed - npc"
"Lauria","ANGELINI - BOVE"
"Hamman","NIckell"
"S DRIJVER","NETHERLANDS"
"Tan Hui","Jin Hui"
"Ivanchev","Botev - Vraca"
"LIGGINS","England"
"Rohewsky","Germany"
"Paparo","Italy"
"Voinescu","PYTON"
"Kowalski D","Poland"
"TUSZYNSKI","Jassem"
"BRAMBILLA","POZZI"
"Pourliotis","Altinis"
"Kupnicki","EKO AL POZNAN"
"Lauria","Italy Parioli"
"Y. Tsang","China Macau"
"Wortel","Team 1"
"BALDURSSON","Island"
"Djircic","Serbia"
"G Grenthe","France"
"Caputo","BELGIUM"
"CHAMBERS","USA 2"
"Welland","Mixed"
"P.O'Briain","CBAI"
"C Simpson","Simpson"
"Sulgrove","SULGROVE"
"Di Pietro","CATANIA"
"Joice","Mitra Buana"
"DOGAN","Turkey"
"Bao ZF","Jiu Jiu A"
"Erichsen","Erichsen"
"P. Hackett","England"
"ROMANSKI","BONGIOVANNI"
"Kantekar","Australia"
"cummins","Wales"
"Grue","USA Hampson"
"Masayuki I","Japan - Yamada"
"WOLPERT","USA1"
"vroustis","Greece"
"Zhao Jie","Dong Ming"
"Rekstad","TOPBRIDGE"
"Huang Yu","Guizhou"
"rogers","England U25"
"Kranyak","Fireman npc"
"Stanicic","Croatia"
"Weiss","ISRAEL"
"SEN","Turkey"
"Golebiowsk","Sygnity"
"Compton","USA"
"YAMADA Aki","JAPAN"
"Teylouni","4 TREFLES 1"
"BOMPIS","BLUMENTAL"
"JAGNIEWSKI","MARTENS"
"MAGNIS Sim","FRANCE"
"das badal","C.V.RAO"
"RODWELL","MAHAFFEY"
"Adriano","BRANCO"
"Yang LX","Shanghai    "
"J.Bojoh","Palma Karya Mandiri"
"PASMAN","NETHERLANDS"
"Brogeland","Erichsen"
"MINA","RE - FORNACIARI"
"DAVID","ELEKTRIK 1"
"GOLEBIOWSK","WROCLAW"
"Fukuda","Takayama"
"Huang K H","Chinese Taipei"
"assael","Turkey"
"MICHAUD LA","Ellia"
"Meckstroth J","Nickell"
"c dixon","England"
"Lixin","Hu - npc"
"Sulgrove","sprung"
"Bessis T","Gaviard"
"Hackett Ju","Europe"
"KRANYAK","QUINN"
"Seguineau","Vinay"
"Peng Guipi","Macau Team A"
"Aleksander Petrunin","Rosenkrantz"
"Richman","Sydney 3"
"DAWSON","LYNCH"
"Fan JY","Shihua"
"A.Janeczko","CKIS SKAWINA"
"CUMPSTONE","CANADA"
"Aronov","Juls"
"Ginossar E","ISR"
"Noshy","El-Ahly Club"
"Joattaon","Guadeloupe"
"G. Peng","Macau"
"Zhu M R","Suzhou"
"Cezary Balicki","Gromov"
"KHOLOMEEV","RUSSIA"
"Hansen","VAN HELSING"
"Potier","Lasserre"
"Mello","BRANCO"
"Wilsmore","Sydney"
"Peirao","d'Orsi"
"Gontha","Palma"
"D.SCHALTZ","SCHALTZ - DENMARK "
"Haeusler","BAMBERGER REITER"
"MANOEL","MANOEL"
"Mohsen","El Ahly Club (A)"
"Drijver","Van Prooijen"
"Matheson J","Scotland"
"Lindermann","Austria"
"GAROZZO","BRENO"
"Li QL","Pu Fa"
"M Sato","Japan Ladies"
"KARAIVANOV","BULGARIA"
"Willard","MOUIEL"
"Bessis T.","Zimmermann"
"Mancuso","Mancuso"
"Li XY","Beijing Shouchuang"
"Zack","Herbst"
"ROMANSKI","POLAND"
"REESS","France"
"Tomayawovi","PASANCI"
"R Kandouw","Bank Mandiri Mnhasa"
"Zhuang","Yeh"
"Tian WQ","Jian Hua Club"
"J.Miller","New Zealand"
"Jansma","Strul"
"Burke","Courtney"
"GRAVERSEN","DENMARK RED"
"YAMADA","JAPAN"
"Lou Xing C","GZ Orange"
"Prokhorov","Team 2"
"HAEUSLER","GERMANY"
"Bentzen","Norway"
"Bjerkan","Glasson"
"BOREVKOVIC","CroatiaJTOMLJENOVIC"
"Angelazi E","ISR"
"Peng JF","SPG"
"Dwyer","USA B"
"Peake","Wiltshire"
"DeLivera","Robinson"
"OZGUL. L","TURKEY"
"SOULET.P","Payen"
"griffiths","NSW"
"Happer","Silverstone"
"Jill Meyers","Baker"
"SVOBODA","ACOL PRAHA"
"SMIRNOV","BAMBERGER "
"Wyer","Neill"
"F Amaral","Amaral"
"GAVIARD","PAYEN"
"Kowalczyk","Team 1"
"Zhao Jie","Beijing Copia"
"anal s","Kabra"
"Mak KF","Hong Kong"
"Bashar","New South Wales"
"MASSIE","Central Celebes"
"Latessa","NBI Roma - Sbarigia"
"JACOBY","O'ROURKE"
"Disa","Westheimer"
"Willenken","Welland"
"Bardon","Queensland"
"V.PROOIJEN","NETHERLANDS"
"Zmudzinski","JOEL"
"Dirk","Riau"
"Mouiel","Zimmerman"
"Bieder","AUSTRIA"
"Rimstedt","Sweden"
"NARASIMHAN","NARASIMHAN"
"Venini L.","VARESE"
"V.Manoppo","WEST JAVA"
"Zhu MR","Gonghang Jinying"
"Waterlow","P Hackett"
"Chen","Nan-Yuan"
"Willemsens","BC Star"
"Lair","Seligman"
"JusHacket","England"
"Bartkowski","KADIMEX"
"West","Ekeblad"
"nwb1023","Dead Pig Nerds"
"Grotheim G","Baze"
"Krupowicz","ARASZKIEWICZ"
"PURKARTHOF","AUSTRIA"
"ZAWISLAK","POLAND"
"Forrester T.","Team 2"
"NYSTROM","MAHAFFEY"
"Henner-Wel","HENNER-WELLAND"
"Ikemoto","Australia"
"Gumby","NSW"
"Drijver","Van Proojen"
"Muller","De Lombard"
"S.Battacha","Pankaj Kapadia"
"Oja","Estonia"
"J Thompson","Mal - Phi"
"C.Sunisa","Thailand"
"helgemo g","Norway"
"Cornel","Leroumain's boys"
"van Mechel","Belgium"
"South","Heimdal"
"SAID","LEVINE"
"SANDQVIST","De Botton"
"PUJURA","Kenya"
"D CLERKIN","ONSTOTT"
"DISLEY","Wales"
"Verhees","The Netherlands"
"Lempoy R","Sulut Perjuangan"
"YULE Kathr","NEW ZEALAND"
"JWeinstein","Ozdil"
"SAELENSMIN","HAUGE"
"Dai","CHINA"
"Pasternak","HARASIMOWICZ"
"Milner","Mixed"
"GILL","AUSTRALIA"
"EKEBLAD","Fleisher"
"Greenwood","Waterlow"
"Kaminaris","Karamanlis"
"Sarten","Markey"
"Lutostansk","CICHOCKI"
"NAWROCKI","POLAND"
"Sadek","Jacobs"
"DREWSKI","Schwartz"
"SENIOR Nev","GREAT BRITAIN "
"Cheek","Spector"
"Chereif No","El Rabwa Club"
"Ben Lai","China Hongkong"
"Villas Boa","Brazil"
"Kalita","POLAND A"
"Robinson","Thompson"
"Bompis","Chemla"
"Panelewen","Indonesia"
"D_Schaltz","DENMARK"
"Asulin","Israel"
"Rothfield","Rothfield"
"Lutostansk","POLAND"
"J Williams","Netherlands Blue"
"D Gold","NEDUK"
"HARRIS","HARRIS"
"Townsend","MOO YORK NIX"
"CASEN","WELLAND"
"O.Herbst","Herbst"
"Shudnev","Kirilenko"
"Ekren","Hordaland 2"
"D. LINDOP","Canada"
"Damiani","Team 2"
"HELGEMO","ITALY"
"EGGELING","GERMANY"
"Rodwell","USA 1"
"Mouiel H","FRANCE"
"Zack","ISRAEL"
"Geare","Newell"
"Radokhleb","Team 1"
"Crouch","England"
"DI EUSANIO","ASD Pescara"
"Toffier P","BLUMENTAL"
"SIMONS","NETHERLANDS"
"Robson A.","Team 2"
"Kuleshov","Commandos"
"D Boyet","New Caledonia"
"Zmudzinski","Sygnity AZS"
"A Labaere","BCOB1"
"A Bach","Rothfield"
"Geste","Latvia"
"Hegedus","Harangozo"
"Hinge","Neill"
"FORRESTER","MAHAFFEY"
"Perron","Izisel"
"Rosenblum","West"
"Wei Yu","Bei Di Ke"
"Rasmussen","Hordaland 2"
"Vanko II","Stara Zagora"
"Palau","DELFOUR"
"FagerlundJ","FINLAND"
"HOMONNAY","HUNGARY GAMAX"
"tanaka","SARA"
"Silver","Carruthers"
"BOMPIS","ZIMMERMANN"
"Subir M","SREE CEMENT"
"Grenthe","Volcker"
"DHONDY","EBU"
"Bocken","Belgium"
"R. LIAN","China"
"Westerhof","Holland"
"Santje P","Djarum 1"
"SHIH Juei-","CHI TAIPEI"
"MARINO","ITALY"
"MELLO","P BRUM"
"South","POLAND"
"P.SCHALTZ","Denmark"
"Gromoller","GERMANY"
"Ferraro G","Italy"
"YAMS R","Payen"
"Justin Hkt","Europe"
"Levin","JACOBS"
"Aal","NTNU"
"R. LEVIN","USA 1"
"GAUTRET","DELFOUR"
"South","Tesla"
"Atabey","Turkey"
"Lauria","Team 2"
"Viksi","Philippines"
"GROMANN In","GERMANY"
"HACKETT Ja","ENGLAND"
"Wilkinson","NEW ZEALAND"
"K. MOHIUDD","Pakistan"
"Wang Wenfe","CHINA Women"
"Ansori","West Java"
"D. TUERAH","Indonesia"
"Akama","Tanaka"
"Carmichael","HARRIS"
"Tanaka","Naito"
"","Table 2"
"Westra","Netherlands Red"
"Gill","Green"
"C Hughes","NEWMAN"
"Nelson","Team 1"
"Noldy","Geologi Timah"
"Barbosa.R","Brum.P."
"VERSACE","Weed - npc"
"VENINI","DOSSENA"
"REIFF","BASSINI"
"Brenner","Viana"
"Janssens","Team 1"
"DEUTSCH","QUINN"
"Diklic","Croatia"
"KHEDR Marw","EGYPT"
"Robinson","Meltzer npc"
"P. Kushari","Dhampur Sugar mills"
"Lynch","Eire"
"THOMPSON","ENGLAND"
"Skrzypczak","Poland"
"GRAMATIKOV","BULGARIA"
"FADY","El Shams Club"
"Ge JB","SANY"
"","Israel"
"Ventin","Lavazza"
"AMOILS","Grue"
"Kippe H","NOR"
"Baze","DEUTSCH"
"ZHANG YU","CHINA 1"
"Paul H","Europe"
"Ferguson","HOLLMAN"
"Buras","Pacific"
"Ware","Australia"
"almirall n","Passarinho"
"Ricciarell","REGGIO EMILIA"
"Nash","N.Ireland"
"Johansson","Iceland"
"CAMPAGNANO","FRANCE"
